,label,ds,xs,bar,bar_type,db_dist,db_norm,edge_dist,active_width,slope,D5,D10,D16,D25,D50,D75,D84,D90,D95,D5_Psi,D10_Psi,D16_Psi,D25_Psi,D50_Psi,D75_Psi,D84_Psi,D90_Psi,D95_Psi,x,y,lat,lon
310,C_DJI_0005,66.09232058,6.846434545,C,Point,2.009016327,0.049483161,1.412587286,28.8183806,0.023817706,37.58040215,40.68218141,45.75805503,52.86948713,79.94784359,140.2020667,230.7994915,281.3478378,293.9539776,5.2319086,5.346325135,5.515953826,5.724363427,6.320987216,7.131363806,7.850496235,8.136211066,8.199446489,583527.8557,5023704.422,45.36187883,-121.9334864
304,C_DJI_0008,70.27983307,12.1319907,C,Point,8.684345187,0.213900128,3.102211305,28.50240818,0.023229633,36.75872187,37.65263211,39.9226475,44.753758,59.83534356,78.77810463,85.82220643,94.67409791,114.6581843,5.200014699,5.234678815,5.319135492,5.483936926,5.902926003,6.299722802,6.423279087,6.564897864,6.841195528,583525.9282,5023697.958,45.36182089,-121.9335121
305,C_DJI_0012,113.0216037,27.15972112,C,Point,19.46798593,0.479507043,3.302666396,35.19072102,0.022939609,32.63636053,33.7928294,37.16312071,39.92396728,69.46606572,91.83673868,103.3654823,121.4691649,137.9665064,5.028408278,5.078645244,5.21579975,5.319183185,6.118236486,6.520999505,6.691610685,6.92444632,7.108174261,583521.4996,5023688.125,45.36173292,-121.9335703
306,C_DJI_0013,126.9992013,23.60995058,C,Point,26.32774357,0.64846659,3.296608347,36.63404233,0.021339134,31.92345524,34.52486709,36.09289654,39.25944356,58.71538001,73.59170807,80.67313658,107.5744713,115.0225935,4.996544905,5.109563955,5.173643022,5.29496782,5.87566655,6.201471315,6.334016444,6.74919194,6.845773463,583519.3147,5023681.577,45.36167425,-121.9335993
308,C_DJI_0025,128.669529,28.19402251,C,Point,23.09876678,0.568935142,7.474645055,36.42559585,0.021339759,40.90460182,44.45399326,46.27837673,52.18075072,77.5056951,109.0277176,146.2888834,155.3682095,179.686496,5.354191252,5.474241116,5.532266356,5.705445795,6.276230418,6.76855114,7.192676332,7.279547529,7.48933818,583524.004,5023682.963,45.36168617,-121.9335392
307,C_DJI_0023,128.882685,21.65092013,C,Point,28.9616229,0.713340466,3.520127462,36.40056403,0.021339759,34.74325037,36.41709912,38.35497228,43.18637608,60.63964458,83.7662184,91.08311349,108.1487016,157.8222908,5.118660825,5.186544101,5.261341713,5.432504355,5.922189392,6.38829664,6.509111703,6.756872535,7.302157176,583518.8963,5023678.868,45.36164992,-121.9336051
441,C_DJI_0017,132.4195478,14.03489051,C,Point,37.3408125,0.919724446,1.003991591,35.1953921,0.022636735,42.70077226,46.2637151,48.44548903,51.31689273,62.13564594,76.51989091,81.31190529,92.22894115,104.5817138,5.416190257,5.531809218,5.598290431,5.681361912,5.957349245,6.257762912,6.345394695,6.52714763,6.708486808,583514.9209,5023671.475,45.36158386,-121.9336571
456,D_DJI_0038,577.5482632,7.337594652,D,Point,133.7614178,0.158733221,1.847684961,36.6223279,0.019801044,41.50677606,44.40704785,53.33088,59.91289753,95.5793317,131.1035016,174.7606962,210.5291804,269.179062,5.375274973,5.47271676,5.736899229,5.904794702,6.578626775,7.034562408,7.449236948,7.717876402,8.072422384,583282.3095,5023308.931,45.35834872,-121.9366878
302,D_DJI_0043,586.5733446,5.083433152,D,Point,125.2698572,0.212139263,0.235043984,39.54739952,0.022550147,25.67042676,30.15885748,33.86524191,41.9097721,84.05546333,151.7746189,223.9008673,244.3840847,335.7204089,4.682035375,4.91450987,5.081733396,5.389214771,6.393269688,7.24578674,7.806716306,7.933006524,8.391116433,583274.1062,5023304.298,45.358308,-121.9367933
247,D_DJI_0981,587.4938988,9.763104435,D,Point,123.3574797,0.224166794,4.781317976,39.84575549,0.022521648,21.91712239,24.67170462,25.91522689,30.96032486,47.69263238,87.95671625,96.59537854,102.4730666,121.9080252,4.453986487,4.624785493,4.695728119,4.952348704,5.575694509,6.458721839,6.593882262,6.679100961,6.929649292,583276.6041,5023300.226,45.35827106,-121.9367621
