,label,D5_untrunc,D10_untrunc,D16_untrunc,D25_untrunc,D50_untrunc,D75_untrunc,D84_untrunc,D90_untrunc,D95_untrunc,p5,p10,p16,p25,p50,p75,p84,p90,p95,max_pixels,D5_Psi_untrunc,D10_Psi_untrunc,D16_Psi_untrunc,D25_Psi_untrunc,D50_Psi_untrunc,D75_Psi_untrunc,D84_Psi_untrunc,D90_Psi_untrunc,D95_Psi_untrunc,obs_untrunc,obs_trunc,agl,res,Transect1.ds,Transect1.dist,Transect1.width,Transect2.ds,Transect2.dist,Transect2.width
442,BB_DJI_0382,17.60805334,19.70823343,23.96317079,26.40728654,41.51848239,56.33605008,73.58480051,92.31408782,161.8982663,22.4713663,25.1516124,30.58175588,33.70093204,52.98581326,71.89596675,93.90879132,117.8110744,206.614279,273.2069322,4.138163516,4.30072656,4.582746912,4.722864161,5.375681805,5.81598651,6.201335893,6.528478926,7.338943726,54,54,3.3230591,0.783577336,6681.794895,22.399638,47.04,6751.291544,47.097011,53
443,BB_DJI_0388,18.41712017,20.11457883,21.54555603,24.51877603,38.78557598,67.23684182,113.5089759,142.0757414,199.6127213,24.27800949,26.51565126,28.40200905,32.32139834,51.12832914,88.63365548,149.6309938,187.2885754,263.135577,294.0413221,4.202975584,4.330169625,4.429318426,4.615815057,5.277448321,6.071180056,6.826662575,7.150516434,7.641059856,46,46,3.2171021,0.758592675,6751.291544,20.772637,53,6681.794895,48.724012,47.04
444,BB_DJI_0396,14.77879144,16.20167354,17.28570775,21.74948079,30.44992875,46.4827103,61.07191947,71.40045857,95.00867699,23.87873205,26.17774414,27.92926507,35.14157608,49.19926588,75.10412393,98.67653971,115.3648067,153.5096255,341.7018827,3.88545639,4.018070938,4.11150777,4.442909056,4.928366947,5.538622286,5.932437284,6.157861435,6.569987373,129,119,2.6247253,0.618910226,6751.291544,3.376944,53,6820.961491,66.293003,28.76
445,BB_DJI_0400,12.75275379,14.25118425,15.49838108,17.79137394,23.21067107,37.09277931,45.72066137,52.03123541,68.82248139,22.06410955,24.65661108,26.81444209,30.78165156,40.15781983,64.17587602,79.10336054,90.02156686,119.0728523,386.325454,3.672736907,3.833009905,3.954045618,4.153106022,4.536716329,5.213066466,5.514774368,5.701306057,6.104808004,131,106,2.4511719,0.577986334,6751.291544,10.628071,53,6681.794895,58.868578,47.04
446,BB_DJI_0407,15.16465165,15.93409011,18.44542313,22.71136344,33.02612187,52.12498596,63.26401045,82.44319517,109.7731681,25.58810071,26.886414,31.12391603,38.32205765,55.7266828,87.95318355,106.7486354,139.1106653,185.2259416,384.8887382,3.922640453,3.994044734,4.205190979,4.505342413,5.045535664,5.703903185,5.983313109,6.365328514,6.778381649,63,56,2.5133362,0.592644676,6751.291544,19.558504,53,6681.794895,49.938145,47.04
447,BB_DJI_0410,17.24627211,18.68429782,22.1126027,26.88880431,40.65470572,56.00521237,66.03077517,91.55945768,170.8308183,27.29369536,29.5694936,34.99507823,42.55382432,64.33953645,88.63302139,104.4993289,144.9006446,270.3543284,401.6146103,4.108212643,4.223754442,4.466796938,4.748933698,5.345350447,5.807489199,6.045066677,6.516637013,7.416424454,65,64,2.679718,0.631877504,6751.291544,7.811585,53,6681.794895,61.685064,47.04
309,BB_DJI_0416,13.29154106,13.7721338,16.77176834,17.95524182,27.8861957,39.40269411,44.88607848,64.52453528,87.69456547,25.69360608,26.62263008,32.42116223,34.70891061,53.90623436,76.16854182,86.76835995,124.731059,169.5205703,344.5126809,3.732436479,3.783680198,4.067962903,4.166333178,4.801479227,5.30022237,5.488196154,6.011775941,6.454415535,82,70,2.1938477,0.517309288,6751.291544,27.146331,53,6681.794895,42.350318,47.04
448,BB_DJI_0563,19.42118057,23.13529601,27.00794653,29.78855568,40.35238637,52.27908201,79.78409201,92.83488865,208.5426016,27.87252474,33.20287909,38.76075685,42.75137921,57.91217908,75.02890988,114.5030329,133.2330298,299.2922496,335.1190013,4.279558997,4.532023653,4.755312048,4.89668627,5.334582089,5.708161903,6.318029214,6.536595187,7.704198321,35,34,2.9549866,0.69678584,6751.291544,11.637402,53,6820.961491,58.032545,28.76
440,BB_DJI_0567,19.64363494,20.2955138,21.64846832,24.04559078,32.28769854,54.42636066,75.35987817,86.41468106,96.49728527,22.80519755,23.56199363,25.13270065,27.91563015,37.4842714,63.18606053,87.48874196,100.3227701,112.0281282,201.5268831,4.295990012,4.343088958,4.43619305,4.587700467,5.012912704,5.766233665,6.235724728,6.433204529,6.592416451,84,84,3.6529541,0.861366577,6820.961491,27.09198,28.76,6751.291544,42.577967,53
462,BB_DJI_0577,14.09991407,15.36632645,16.92685622,19.64348041,27.38769595,44.20955263,53.27999107,62.23515565,75.58322567,21.70596778,23.6555333,26.05787482,30.23995401,42.16170701,68.05794137,82.0213346,95.80727066,116.3558199,333.7989442,3.817614465,3.941700403,4.081242145,4.295978662,4.775455996,5.46628623,5.735521936,5.959657861,6.239994185,225,195,2.7548218,0.64958698,6751.291544,29.347373,53,6820.961491,40.322574,28.76
449,BB_DJI_0594,17.11255009,20.68556299,22.92338563,27.07815826,38.84051532,65.29831397,87.70594591,99.36550175,121.3233209,22.64399201,27.37194168,30.33311566,35.83087243,51.3952809,86.40526935,116.0559197,131.4842976,160.5397381,373.4883074,4.096982859,4.370552318,4.518748231,4.759057711,5.279490437,6.028973836,6.454602747,6.634673151,6.922713083,143,140,3.2049255,0.755721433,6820.961491,6.239276,28.76,6891.005806,63.805039,22.23
450,BB_DJI_0602,20.33698323,25.56145179,27.14278162,35.15726339,55.51129313,120.4281686,167.1337799,170.7277112,198.7710168,34.45705863,43.30890343,45.98815895,59.56713796,94.05307857,204.0420852,283.1756504,289.2648672,336.7787887,453.9533249,4.346033782,4.675897873,4.762496672,5.135750872,5.794709396,6.912029073,7.38485954,7.415553434,7.6349636,26,26,2.5030212,0.590212399,6891.005806,29.992963,22.23,6820.961491,40.051352,28.76
434,BB_DJI_0605,18.8055946,19.60816463,20.38431763,21.41050772,25.89409197,33.56116063,40.1566607,50.54290284,75.13325059,21.49486098,22.41220135,23.29934697,24.47228586,29.59703847,38.360525,45.89920485,57.77071626,85.87757049,346.8124245,4.233090018,4.293382597,4.349387758,4.420247102,4.694551063,5.068720703,5.327567399,5.65943662,6.231379616,228,228,3.7102966,0.874887938,6891.005806,8.418382,22.23,6820.961491,61.625933,28.76
435,BB_DJI_0608,22.59044423,23.66109079,24.85975573,27.11572888,35.59823615,46.3156794,50.97021712,58.79603048,69.08481732,20.78515687,21.77024403,22.87311915,24.94880901,32.75344722,42.61441927,46.89699538,54.09741856,63.56398975,112.8911341,4.497640736,4.564444679,4.635740215,4.761058046,5.153733854,5.533428771,5.671582594,5.877646852,6.110296781,112,112,4.6092224,1.086854642,6891.005806,0.650367,22.23,6820.961491,69.393948,28.76
436,BB_DJI_0618,29.29461147,30.13550708,31.11758464,33.42922079,47.13158083,67.78318994,88.31892835,115.9170558,162.8117608,20.84674898,21.44515048,22.14402046,23.78903626,33.53996469,48.23614565,62.84987023,82.48936045,115.8607586,154.1559535,4.872563411,4.913392435,4.959658177,5.063037822,5.558622166,6.082855628,6.464650762,6.856949047,7.347061107,115,115,5.9594421,1.405236447,6891.005806,7.335228,22.23,6960.390548,62.049514,44.41
437,BB_DJI_0620,28.24369049,32.48215201,33.71559779,35.12759414,69.581914,149.7878378,186.1747917,311.3408123,322.0753081,34.27223616,39.41538678,40.9121085,42.62549196,84.43400093,181.7596802,225.9133391,377.7957363,390.8214837,453.7570511,4.819856707,5.021575312,5.075344272,5.134532866,6.120640459,7.226776677,7.540513933,8.282350895,8.331254251,21,21,3.4949036,0.824098269,6820.961491,23.407171,28.76,6891.005806,46.637144,22.23
